command,domain,validation,authorization,expected_result,published_events
ReleaseSubmissionFeedback,Submission & Grading,Aggregate exists in state [finalized]; Release policy satisfied; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [released] or returns a stable business error without partial change.,SubmissionStateChanged (released); AuditRecorded when command is privileged or academically consequential
InvalidateSubmission,Submission & Grading,"Aggregate exists in state [received/validated/queued/grading]; Fraud, corruption or authorized correction path; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [invalidated] or returns a stable business error without partial change.,SubmissionStateChanged (invalidated); AuditRecorded when command is privileged or academically consequential
SupersedeSubmission,Submission & Grading,Aggregate exists in state [released]; Approved resubmission or correction creates new version; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own draft/submit; grading service/reviewer for evaluation states,Aggregate transitions to [superseded] or returns a stable business error without partial change.,SubmissionStateChanged (superseded); AuditRecorded when command is privileged or academically consequential
StartAIRun,AI Academic Intelligence,"Aggregate exists in state [queued]; Approved model, prompt, rubric and context available; request is idempotent where externally repeatable; referenced versions and academy scope are valid.","Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [running] or returns a stable business error without partial change.,AIReviewStateChanged (running); AuditRecorded when command is privileged or academically consequential
CompleteAIRun,AI Academic Intelligence,Aggregate exists in state [running]; Provider response received; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [output_received] or returns a stable business error without partial change.,AIRunCompleted; AuditRecorded when command is privileged or academically consequential
ValidateAIOutput,AI Academic Intelligence,"Aggregate exists in state [output_received]; Schema, score range, provenance and safety checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.","Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [validated] or returns a stable business error without partial change.,AIReviewStateChanged (validated); AuditRecorded when command is privileged or academically consequential
RejectAIOutput,AI Academic Intelligence,Aggregate exists in state [output_received]; Validation fails and retry policy exhausted; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [failed] or returns a stable business error without partial change.,AIReviewStateChanged (failed); AuditRecorded when command is privileged or academically consequential
AutoAcceptAIResult,AI Academic Intelligence,Aggregate exists in state [validated]; Confidence and policy thresholds met; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [accepted] or returns a stable business error without partial change.,AIReviewStateChanged (accepted); AuditRecorded when command is privileged or academically consequential
RouteToHumanReview,AI Academic Intelligence,"Aggregate exists in state [validated]; Low confidence, disagreement, flag or policy; request is idempotent where externally repeatable; referenced versions and academy scope are valid.","Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [review_required] or returns a stable business error without partial change.,AIReviewStateChanged (review_required); AuditRecorded when command is privileged or academically consequential
AssignReviewer,AI Academic Intelligence,Aggregate exists in state [review_required]; Authorized reviewer available; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [in_human_review] or returns a stable business error without partial change.,AIReviewStateChanged (in_human_review); AuditRecorded when command is privileged or academically consequential
ConfirmAIResult,AI Academic Intelligence,Aggregate exists in state [in_human_review]; Reviewer confirms; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [accepted] or returns a stable business error without partial change.,AIReviewStateChanged (accepted); AuditRecorded when command is privileged or academically consequential
AdjustAIResult,AI Academic Intelligence,Aggregate exists in state [in_human_review]; Reviewer records criterion changes and reason; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [adjusted] or returns a stable business error without partial change.,AIReviewStateChanged (adjusted); AuditRecorded when command is privileged or academically consequential
EscalateAIReview,AI Academic Intelligence,Aggregate exists in state [in_human_review]; Specialist review required; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [escalated] or returns a stable business error without partial change.,AIReviewStateChanged (escalated); AuditRecorded when command is privileged or academically consequential
RetryAIRun,AI Academic Intelligence,Aggregate exists in state [failed]; Retry budget and failure class permit; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [queued] or returns a stable business error without partial change.,AIReviewStateChanged (queued); AuditRecorded when command is privileged or academically consequential
SuspendAIReview,AI Academic Intelligence,Aggregate exists in state [any_non_terminal]; Provider/model incident or policy hold; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,"Authorized AI worker, Academic Reviewer or Instructor according to grading policy",Aggregate transitions to [suspended] or returns a stable business error without partial change.,AIReviewStateChanged (suspended); AuditRecorded when command is privileged or academically consequential
ValidateRecommendationEligibility,Recommendation Engine,"Aggregate exists in state [generated]; Activity accessible, released and appropriate; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [eligible] or returns a stable business error without partial change.,RecommendationStateChanged (eligible); AuditRecorded when command is privileged or academically consequential
RejectRecommendation,Recommendation Engine,Aggregate exists in state [generated]; Candidate fails eligibility or policy; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [rejected] or returns a stable business error without partial change.,RecommendationStateChanged (rejected); AuditRecorded when command is privileged or academically consequential
PresentRecommendation,Recommendation Engine,Aggregate exists in state [eligible]; Workspace and audience valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [presented] or returns a stable business error without partial change.,RecommendationPresented; AuditRecorded when command is privileged or academically consequential
AcceptRecommendation,Recommendation Engine,Aggregate exists in state [presented]; Student or authorized staff accepts; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [accepted] or returns a stable business error without partial change.,RecommendationAccepted; AuditRecorded when command is privileged or academically consequential
DismissRecommendation,Recommendation Engine,Aggregate exists in state [presented]; Dismissal allowed and reason captured where needed; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [dismissed] or returns a stable business error without partial change.,RecommendationStateChanged (dismissed); AuditRecorded when command is privileged or academically consequential
ExpireRecommendation,Recommendation Engine,"Aggregate exists in state [presented/accepted]; Time, activity or evidence context becomes stale; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [expired] or returns a stable business error without partial change.,RecommendationStateChanged (expired); AuditRecorded when command is privileged or academically consequential
StartRecommendedActivity,Recommendation Engine,Aggregate exists in state [accepted]; Linked activity starts; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [acted_on] or returns a stable business error without partial change.,RecommendationStateChanged (acted_on); AuditRecorded when command is privileged or academically consequential
CompleteRecommendedActivity,Recommendation Engine,Aggregate exists in state [acted_on]; Verified activity completion; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [completed] or returns a stable business error without partial change.,RecommendationStateChanged (completed); AuditRecorded when command is privileged or academically consequential
EvaluateRecommendationOutcome,Recommendation Engine,Aggregate exists in state [completed]; Outcome window and evidence available; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [evaluated] or returns a stable business error without partial change.,RecommendationStateChanged (evaluated); AuditRecorded when command is privileged or academically consequential
SupersedeRecommendation,Recommendation Engine,Aggregate exists in state [presented/accepted]; New policy/evidence creates more relevant recommendation; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Recommendation service for generation; Student for own accept/dismiss; Instructor for scoped manual actions,Aggregate transitions to [superseded] or returns a stable business error without partial change.,RecommendationStateChanged (superseded); AuditRecorded when command is privileged or academically consequential
SubmitOfficialResult,Goal Management,"Aggregate exists in state [draft]; Product, date and score fields valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Student for own submission; authorized Administrator/Reviewer for verification,Aggregate transitions to [submitted] or returns a stable business error without partial change.,OfficialResultStateChanged (submitted); AuditRecorded when command is privileged or academically consequential
RequestResultVerification,Goal Management,Aggregate exists in state [submitted]; Verification policy requires evidence; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own submission; authorized Administrator/Reviewer for verification,Aggregate transitions to [verification_pending] or returns a stable business error without partial change.,OfficialResultStateChanged (verification_pending); AuditRecorded when command is privileged or academically consequential
AcceptSelfReportedResult,Goal Management,Aggregate exists in state [submitted]; Policy permits self-report with explicit provenance; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own submission; authorized Administrator/Reviewer for verification,Aggregate transitions to [verified] or returns a stable business error without partial change.,OfficialResultStateChanged (verified); AuditRecorded when command is privileged or academically consequential
VerifyOfficialResult,Goal Management,Aggregate exists in state [verification_pending]; Authorized verifier and evidence pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own submission; authorized Administrator/Reviewer for verification,Aggregate transitions to [verified] or returns a stable business error without partial change.,OfficialResultVerified; AuditRecorded when command is privileged or academically consequential
RejectOfficialResult,Goal Management,Aggregate exists in state [verification_pending]; Evidence invalid or inconsistent; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own submission; authorized Administrator/Reviewer for verification,Aggregate transitions to [rejected] or returns a stable business error without partial change.,OfficialResultStateChanged (rejected); AuditRecorded when command is privileged or academically consequential
EvaluateTargetOutcome,Goal Management,Aggregate exists in state [verified]; Active goal version and score scale resolved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own submission; authorized Administrator/Reviewer for verification,Aggregate transitions to [evaluated] or returns a stable business error without partial change.,OfficialResultStateChanged (evaluated); AuditRecorded when command is privileged or academically consequential
ArchiveOfficialResult,Goal Management,Aggregate exists in state [evaluated]; Outcome workflow complete and retention starts; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own submission; authorized Administrator/Reviewer for verification,Aggregate transitions to [archived] or returns a stable business error without partial change.,OfficialResultStateChanged (archived); AuditRecorded when command is privileged or academically consequential
CorrectOfficialResult,Goal Management,Aggregate exists in state [submitted/verified/evaluated]; Authorized correction with reason; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Student for own submission; authorized Administrator/Reviewer for verification,Aggregate transitions to [superseded + new version] or returns a stable business error without partial change.,OfficialResultStateChanged (superseded + new version); AuditRecorded when command is privileged or academically consequential
ApproveAchievementDefinition,Achievement & Milestones,"Aggregate exists in state [draft]; Criteria measurable, safe and non-manipulative; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Academic Reviewer/Administrator for definitions; achievement service for awards,Aggregate transitions to [approved] or returns a stable business error without partial change.,AchievementStateChanged (approved); AuditRecorded when command is privileged or academically consequential
ActivateAchievementDefinition,Achievement & Milestones,Aggregate exists in state [approved]; Effective period and event mappings valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definitions; achievement service for awards,Aggregate transitions to [active] or returns a stable business error without partial change.,AchievementStateChanged (active); AuditRecorded when command is privileged or academically consequential
DetectQualifyingMilestone,Achievement & Milestones,Aggregate exists in state [active]; Verified events satisfy criteria; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definitions; achievement service for awards,Aggregate transitions to [pending_award] or returns a stable business error without partial change.,AchievementStateChanged (pending_award); AuditRecorded when command is privileged or academically consequential
AwardAchievement,Achievement & Milestones,Aggregate exists in state [pending_award]; Uniqueness and eligibility pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definitions; achievement service for awards,Aggregate transitions to [awarded] or returns a stable business error without partial change.,AchievementAwarded; AuditRecorded when command is privileged or academically consequential
RevokeAchievement,Achievement & Milestones,Aggregate exists in state [awarded]; Underlying evidence invalidated or award erroneous; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definitions; achievement service for awards,Aggregate transitions to [revoked] or returns a stable business error without partial change.,AchievementStateChanged (revoked); AuditRecorded when command is privileged or academically consequential
RetireAchievementDefinition,Achievement & Milestones,Aggregate exists in state [active]; No new awards; history retained; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Academic Reviewer/Administrator for definitions; achievement service for awards,Aggregate transitions to [retired] or returns a stable business error without partial change.,AchievementStateChanged (retired); AuditRecorded when command is privileged or academically consequential
SubmitQuestionForInternalReview,Question Bank,"Aggregate exists in state [draft]; Prompt, response type and metadata complete; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [internal_review] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (internal_review); AuditRecorded when command is privileged or academically consequential
PassQuestionInternalReview,Question Bank,Aggregate exists in state [internal_review]; Structural and duplicate checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [academic_review] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (academic_review); AuditRecorded when command is privileged or academically consequential
ApproveQuestionAcademically,Question Bank,"Aggregate exists in state [academic_review]; Accuracy, answer, explanation, competency and difficulty pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [quality_assurance] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (quality_assurance); AuditRecorded when command is privileged or academically consequential
PassQuestionQA,Question Bank,"Aggregate exists in state [quality_assurance]; Rendering, accessibility, media and answer isolation pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [pilot_testing/approval] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (pilot_testing/approval); AuditRecorded when command is privileged or academically consequential
CompleteQuestionPilot,Question Bank,Aggregate exists in state [pilot_testing]; Pilot data and issue resolution acceptable; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [approval] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (approval); AuditRecorded when command is privileged or academically consequential
ApproveQuestionVersion,Question Bank,Aggregate exists in state [approval]; Authorized approver accepts version; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [approved] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (approved); AuditRecorded when command is privileged or academically consequential
PublishQuestionVersion,Question Bank,Aggregate exists in state [approved]; Package dependencies approved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [published] or returns a stable business error without partial change.,QuestionVersionPublished; AuditRecorded when command is privileged or academically consequential
RetireQuestionVersion,Question Bank,Aggregate exists in state [published]; No new ordinary use; history preserved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [retired] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (retired); AuditRecorded when command is privileged or academically consequential
WithdrawQuestionVersion,Question Bank,Aggregate exists in state [published]; Critical defect/exposure with impact analysis; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [withdrawn] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (withdrawn); AuditRecorded when command is privileged or academically consequential
ArchiveQuestionVersion,Question Bank,Aggregate exists in state [retired/withdrawn]; Retention checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for draft; Academic Reviewer/QA roles for gates; Administrator for publication/withdrawal,Aggregate transitions to [archived] or returns a stable business error without partial change.,QuestionLifecycleStateChanged (archived); AuditRecorded when command is privileged or academically consequential
SubmitForInternalReview,Academic Publishing,Aggregate exists in state [draft]; Publication candidate complete; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [internal_review] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (internal_review); AuditRecorded when command is privileged or academically consequential
CompleteInternalReview,Academic Publishing,Aggregate exists in state [internal_review]; Structure and metadata pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [academic_review] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (academic_review); AuditRecorded when command is privileged or academically consequential
CompleteAcademicReview,Academic Publishing,Aggregate exists in state [academic_review]; Academic accuracy and alignment pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [quality_assurance] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (quality_assurance); AuditRecorded when command is privileged or academically consequential
CompleteQualityAssurance,Academic Publishing,"Aggregate exists in state [quality_assurance]; Technical, accessibility, security and dependency checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [pilot_testing/approval] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (pilot_testing/approval); AuditRecorded when command is privileged or academically consequential
CompletePilotTesting,Academic Publishing,Aggregate exists in state [pilot_testing]; Pilot criteria pass or approved tier waiver; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [approval] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (approval); AuditRecorded when command is privileged or academically consequential
ApprovePublicationPackage,Academic Publishing,Aggregate exists in state [approval]; Required approvers and separation of duties satisfied; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [approved] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (approved); AuditRecorded when command is privileged or academically consequential
SchedulePublication,Academic Publishing,Aggregate exists in state [approved]; Effective date and dependencies valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [scheduled] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (scheduled); AuditRecorded when command is privileged or academically consequential
PublishPackage,Academic Publishing,Aggregate exists in state [scheduled]; Activation transaction succeeds; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [published] or returns a stable business error without partial change.,ContentPublished; AuditRecorded when command is privileged or academically consequential
RetirePackage,Academic Publishing,Aggregate exists in state [published]; Normal end-of-life; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [retired] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (retired); AuditRecorded when command is privileged or academically consequential
WithdrawPackage,Academic Publishing,Aggregate exists in state [published]; Critical emergency action with impact workflow; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [withdrawn] or returns a stable business error without partial change.,ContentWithdrawn; AuditRecorded when command is privileged or academically consequential
ArchivePackage,Academic Publishing,Aggregate exists in state [retired/withdrawn]; Retention and operational dependency checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Content Author for submission; Academic Reviewer/QA for gates; Administrator/Super Administrator for approval/publication,Aggregate transitions to [archived] or returns a stable business error without partial change.,PublishingLifecycleStateChanged (archived); AuditRecorded when command is privileged or academically consequential
CreatePreparationJourney,Preparation Journey,Active eligible enrollment; no conflicting active journey; initial goal context supplied or goal pending permitted.,"Administrator, authorized enrollment workflow or student self-service policy",New journey in goal_definition_pending/baseline_pending.,JourneyCreated
CreateExamGoal,Goal Management,Journey exists; exam product and score scale valid; no conflicting primary active goal.,Student or assigned authorized staff,Draft goal and initial GoalVersion created.,ExamGoalCreated
AssignDiagnostic,Diagnostic Assessment,Journey baseline required; diagnostic published; audience and accommodation eligible.,Authorized academic workflow or Instructor/Administrator,DiagnosticAssignment becomes assigned/available.,DiagnosticAssigned
GenerateDiagnosticReport,Diagnostic Assessment,Diagnostic completed; effective grades and evidence available; report policy version active.,Diagnostic service or authorized Academic Reviewer,Immutable DiagnosticReport and gap entries created.,DiagnosticReportGenerated; BaselineEstablished
GenerateLearningPath,Learning Path,"Goal, baseline, curriculum and competency framework resolvable.",Learning Path service or authorized Instructor,Proposed journey-specific LearningPath created.,LearningPathGenerated
CreateStudyPlan,Study Planning,"Active path; valid availability, dates and workload rules.","Student, assigned staff or Planning service",Draft/proposed StudyPlan and activities created.,StudyPlanCreated
ReplanStudyPlan,Study Planning,Active plan; replanning trigger and constraints available.,"Student, assigned staff or Planning service",New revision supersedes prior plan.,StudyPlanRevised
RefreshLearningWorkspace,Learning Workspace,Active enrollment/journey and authorized audience.,Workspace projection service,Workspace projection rebuilt from current source summaries.,WorkspaceRefreshed
CreateQuestionItem,Question Bank,Academy scope; item family and authoring permission valid.,"Content Author, Administrator",Stable QuestionItem and initial draft version created.,QuestionItemCreated
CreateQuestionVersion,Question Bank,QuestionItem exists; source version lineage valid.,Content Author,New mutable draft QuestionVersion created.,QuestionVersionCreated
CreateAssessment,Assessment Definition,Course/academy scope and purpose valid.,Content Author or Administrator,AssessmentDefinition and initial draft version created.,AssessmentCreated
AssembleAssessmentForm,Assessment Definition,Approved blueprint; sufficient eligible item pool; exposure rules pass.,Assessment builder service or authorized Content Author,Candidate immutable form snapshot created for validation.,AssessmentFormAssembled
ScheduleAssessmentDelivery,Examination Delivery,"Published form; audience, time and attempt policy valid.",Administrator or Instructor within assignment,Scheduled AssessmentDelivery created.,AssessmentDeliveryScheduled
StartAttempt,Examination Delivery,Eligible active enrollment; delivery open; attempts remaining; no conflicting start.,Student for own journey,Attempt created/started with exact form snapshot and server deadlines.,AttemptStarted
SaveResponse,Examination Delivery,"Attempt owned, active and within deadline; response schema valid; sequence/idempotency valid.",Student for own active attempt,Latest valid response revision durably stored.,ResponseSaved
SubmitAttempt,Examination Delivery,Attempt active; ownership valid; deadline/submission policy passes.,Student or authorized auto-submit service,Attempt and responses locked; grading queued atomically.,AttemptSubmitted; SubmissionQueuedForGrading
RecordSimulationIncident,Exam Simulation,Session exists; incident type and evidence valid.,"Platform service, Student report or authorized operations staff",Append-only incident opened.,SimulationIncidentDetected
QueueAIGrade,AI Academic Intelligence,Submission validated; approved rubric/model/prompt policy resolved.,Grading orchestration service,GradeRun queued with immutable provenance.,AIGradeQueued
OverrideAIGrade,Submission & Grading,Effective AI/human result exists; reviewer has scope; new score valid; reason supplied.,Instructor/Academic Reviewer with override permission,New GradeDecision supersedes previous; original run preserved.,GradeAdjusted; GradeDecisionFinalized
RecordAcademicEvidence,Academic Evidence,"Source event valid, unique and traceable; competency mapping and reliability policy active.",Evidence projection service,Append-oriented AcademicEvidence accepted.,AcademicEvidenceRecorded
RecalculateMastery,Mastery,Valid evidence boundary and approved model version available.,Mastery service,New MasteryEstimate snapshots created.,MasteryUpdated
CalculateReadiness,Exam Readiness,"Active GoalVersion, model and evidence boundary resolved.",Readiness service,New current or insufficient-evidence ReadinessSnapshot created.,ReadinessUpdated
GenerateRecommendation,Recommendation Engine,Current journey context; candidate sources and active policy available.,Recommendation service or authorized Instructor,Eligible ranked Recommendation records created.,RecommendationGenerated
OpenInterventionCase,Student Success,Explainable signal; no unresolved duplicate; authorized scope.,Student Success service/officer or assigned Instructor,InterventionCase opened and assigned/queued.,InterventionOpened
ResolveInterventionCase,Student Success,"Case active; outcome, actions and reason recorded.",Assigned Student Success Officer/Administrator,Case resolved or closed with outcome.,InterventionResolved
GrantSponsorAccess,Sponsor Relationship,"Valid sponsor identity, relationship basis, consent and visibility policy.",Student/guardian/Administrator according to age and academy policy,SponsorRelationship activated with expiry/scope.,SponsorAccessGranted
RevokeSponsorAccess,Sponsor Relationship,Active relationship and authorized revoker.,Student/guardian/Administrator according to policy,Access revoked immediately; history retained.,SponsorAccessRevoked
PublishAnnouncement,Communication,"Audience, dates, content, academy scope and author permission valid.",Instructor/Administrator within scope,Announcement published/scheduled.,AnnouncementPublished
ExportAcademicReport,Academic Intelligence,"Metric versions, audience, row/field scope and purpose valid.","Authorized Instructor, Student Success Officer, Administrator or Super Administrator",Asynchronous protected export created or request denied.,AcademicReportExported
ImportLegacyBatch,Integration,Dry run passed; mapping/version/provenance defined; idempotency and reconciliation plan valid.,Migration operator or Super Administrator,Canonical records created/linked with per-record outcomes.,LegacyBatchImported
