event,producer,consumers,payload,business_significance
QuestionApproved,Question Bank,Academic Operations; Academic Publishing; Psychometrics & Item Quality,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; questionItemId; questionVersionId?; state; publicationPackageId?,Confirms an authorized quality or governance gate has passed.
QuestionPublished,Question Bank,Academic Operations; Academic Publishing; Assessment Definition; Psychometrics & Item Quality,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; questionItemId; questionVersionId?; state; publicationPackageId?,Makes an approved immutable version eligible for governed use.
QuestionRetired,Question Bank,Academic Operations; Academic Publishing; Adaptive Practice; Psychometrics & Item Quality,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; questionItemId; questionVersionId?; state; publicationPackageId?,Ends normal future use while retaining historical resolvability.
QuestionWithdrawn,Question Bank,Academic Operations; Academic Publishing; Psychometrics & Item Quality,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; questionItemId; questionVersionId?; state; publicationPackageId?,Stops new use of a defective or unsuitable published object while preserving impact history.
InternalReviewCompleted,Academic Publishing,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
AcademicReviewCompleted,Academic Publishing,Competency Framework,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
QualityAssurancePassed,Academic Publishing,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Academic Publishing fact so dependent domains can react without direct database coupling.
PilotCompleted,Academic Publishing,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
PublicationApproved,Academic Publishing,Academic Operations; Assessment Definition; Audit & Compliance; Learning Content; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; publicationPackageId; objectReferences; state; effectiveAt?,Confirms an authorized quality or governance gate has passed.
ContentPublished,Academic Publishing,Academic Operations; Communication; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; contentId; contentVersionId; publicationState; effectiveAt?,Makes an approved immutable version eligible for governed use.
ContentRetired,Academic Publishing,Academic Operations; Communication; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; contentId; contentVersionId; publicationState; effectiveAt?,Ends normal future use while retaining historical resolvability.
ContentWithdrawn,Academic Publishing,Academic Operations; Communication; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; contentId; contentVersionId; publicationState; effectiveAt?,Stops new use of a defective or unsuitable published object while preserving impact history.
PracticeSessionGenerated,Adaptive Practice,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Produces a governed derived object that must retain its policy and evidence provenance.
PracticeSessionStarted,Adaptive Practice,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Marks the authoritative beginning of a timed or controlled business process.
PracticeResponseEvaluated,Adaptive Practice,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Adaptive Practice fact so dependent domains can react without direct database coupling.
PracticeSessionCompleted,Adaptive Practice,Academic Evidence; Achievement & Milestones,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
PracticeMasterySignalProduced,Adaptive Practice,Academic Intelligence; Exam Readiness; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; masteryEstimateId; journeyId; competencyId; level; confidence; modelVersionId,Communicates a material Adaptive Practice fact so dependent domains can react without direct database coupling.
AssessmentCreated,Assessment Definition,Academic Evidence; Academic Intelligence; Academic Operations; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; assessmentId; versionId?; formId?; deliveryId?; state; effectiveAt?,Establishes a new canonical business object for downstream workflows.
AssessmentVersionApproved,Assessment Definition,Academic Evidence; Academic Intelligence; Academic Operations; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; assessmentId; versionId?; formId?; deliveryId?; state; effectiveAt?,Confirms an authorized quality or governance gate has passed.
AssessmentFormPublished,Assessment Definition,Academic Evidence; Academic Intelligence; Academic Operations; Communication; Exam Simulation; Examination Delivery; Psychometrics & Item Quality,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; assessmentId; versionId?; formId?; deliveryId?; state; effectiveAt?,Makes an approved immutable version eligible for governed use.
AssessmentRetired,Assessment Definition,Academic Evidence; Academic Intelligence; Academic Operations; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; assessmentId; versionId?; formId?; deliveryId?; state; effectiveAt?,Ends normal future use while retaining historical resolvability.
SimulationPublished,Exam Simulation,Academic Evidence; Academic Intelligence; Academic Operations; Exam Readiness,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; simulationId; sessionId?; policyPackId; journeyId?; state; incidentSummary?,Makes an approved immutable version eligible for governed use.
SimulationScheduled,Exam Simulation,Academic Evidence; Academic Intelligence; Academic Operations; Exam Readiness; Examination Delivery,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; simulationId; sessionId?; policyPackId; journeyId?; state; incidentSummary?,Communicates a material Exam Simulation fact so dependent domains can react without direct database coupling.
SimulationStarted,Exam Simulation,Academic Evidence; Academic Intelligence; Academic Operations; Exam Readiness,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; simulationId; sessionId?; policyPackId; journeyId?; state; incidentSummary?,Marks the authoritative beginning of a timed or controlled business process.
SimulationSectionCompleted,Exam Simulation,Academic Evidence; Academic Intelligence; Academic Operations; Exam Readiness,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; simulationId; sessionId?; policyPackId; journeyId?; state; incidentSummary?,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
SimulationIncidentRecorded,Exam Simulation,Academic Evidence; Academic Intelligence; Academic Operations; Exam Readiness,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; simulationId; sessionId?; policyPackId; journeyId?; state; incidentSummary?,Adds an immutable or append-oriented fact to the business record.
SimulationCompleted,Exam Simulation,Academic Evidence; Academic Intelligence; Academic Operations; Exam Readiness,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; simulationId; sessionId?; policyPackId; journeyId?; state; incidentSummary?,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
SimulationInvalidated,Exam Simulation,Academic Evidence; Academic Intelligence; Academic Operations; Exam Readiness,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; simulationId; sessionId?; policyPackId; journeyId?; state; incidentSummary?,Communicates a material Exam Simulation fact so dependent domains can react without direct database coupling.
DeliveryOpened,Examination Delivery,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Examination Delivery fact so dependent domains can react without direct database coupling.
AttemptCreated,Examination Delivery,Academic Operations; Audit & Compliance; Submission & Grading,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; attemptId; deliveryId; enrollmentId; journeyId; state; submittedAt?,Establishes a new canonical business object for downstream workflows.
AttemptStarted,Examination Delivery,Academic Operations; Audit & Compliance; Submission & Grading,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; attemptId; deliveryId; enrollmentId; journeyId; state; submittedAt?,Marks the authoritative beginning of a timed or controlled business process.
ResponseSaved,Examination Delivery,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Examination Delivery fact so dependent domains can react without direct database coupling.
SectionSubmitted,Examination Delivery,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Locks or accepts a business submission and starts downstream evaluation.
AttemptSubmitted,Examination Delivery,Academic Operations; Audit & Compliance; Psychometrics & Item Quality; Submission & Grading,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; attemptId; deliveryId; enrollmentId; journeyId; state; submittedAt?,Locks or accepts a business submission and starts downstream evaluation.
AttemptExpired,Examination Delivery,Academic Operations; Audit & Compliance; Submission & Grading,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; attemptId; deliveryId; enrollmentId; journeyId; state; submittedAt?,Communicates a material Examination Delivery fact so dependent domains can react without direct database coupling.
AttemptInvalidated,Examination Delivery,Academic Operations; Audit & Compliance; Submission & Grading,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; attemptId; deliveryId; enrollmentId; journeyId; state; submittedAt?,Communicates a material Examination Delivery fact so dependent domains can react without direct database coupling.
SubmissionReceived,Submission & Grading,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Submission & Grading fact so dependent domains can react without direct database coupling.
ObjectiveGradeCalculated,Submission & Grading,Academic Evidence; Communication; Exam Readiness; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; gradeRunId?; gradeDecisionId?; submissionId; scoreSummary; rubricVersionId; confidence?,Communicates a material Submission & Grading fact so dependent domains can react without direct database coupling.
AIGradeRequested,Submission & Grading,AI Academic Intelligence; Academic Evidence; Academic Intelligence; Academic Operations; Audit & Compliance; Communication; Exam Readiness; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; gradeRunId?; gradeDecisionId?; submissionId; scoreSummary; rubricVersionId; confidence?; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,Communicates a material Submission & Grading fact so dependent domains can react without direct database coupling.
InstructorReviewRequested,Submission & Grading,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Submission & Grading fact so dependent domains can react without direct database coupling.
GradeDecisionCreated,Submission & Grading,Academic Evidence; Communication; Exam Readiness; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; gradeRunId?; gradeDecisionId?; submissionId; scoreSummary; rubricVersionId; confidence?,Establishes a new canonical business object for downstream workflows.
GradeOverridden,Submission & Grading,Academic Evidence; Communication; Exam Readiness; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; gradeRunId?; gradeDecisionId?; submissionId; scoreSummary; rubricVersionId; confidence?,Communicates a material Submission & Grading fact so dependent domains can react without direct database coupling.
GradeReleased,Submission & Grading,Academic Evidence; Communication; Exam Readiness; Learning Workspace,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; gradeRunId?; gradeDecisionId?; submissionId; scoreSummary; rubricVersionId; confidence?,"Makes an approved result, feedback or capability visible to its intended audience."
AcademicEvidenceRecorded,Academic Evidence,Academic Intelligence; Exam Readiness; Mastery,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; evidenceId; journeyId; competencyId; sourceType; sourceId; reliability; effectiveAt,Adds an immutable or append-oriented fact to the business record.
EvidenceSuperseded,Academic Evidence,Academic Intelligence; Exam Readiness; Mastery,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; evidenceId; journeyId; competencyId; sourceType; sourceId; reliability; effectiveAt,Communicates a material Academic Evidence fact so dependent domains can react without direct database coupling.
EvidenceInvalidated,Academic Evidence,Academic Intelligence; Exam Readiness; Mastery,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; evidenceId; journeyId; competencyId; sourceType; sourceId; reliability; effectiveAt,Communicates a material Academic Evidence fact so dependent domains can react without direct database coupling.
MasteryCalculated,Mastery,Academic Intelligence; Exam Readiness; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; masteryEstimateId; journeyId; competencyId; level; confidence; modelVersionId,Communicates a material Mastery fact so dependent domains can react without direct database coupling.
MasteryUpdated,Mastery,Academic Intelligence; Adaptive Practice; Exam Readiness; Learning Path; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; masteryEstimateId; journeyId; competencyId; level; confidence; modelVersionId,Signals a material derived or business-state change requiring dependent projections to refresh.
SkillWeaknessDetected,Mastery,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Identifies an explainable risk, gap, incident or milestone requiring evaluation."
SkillMasteryConfirmed,Mastery,Academic Intelligence; Achievement & Milestones; Exam Readiness; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; masteryEstimateId; journeyId; competencyId; level; confidence; modelVersionId,Communicates a material Mastery fact so dependent domains can react without direct database coupling.
MasteryConfidenceChanged,Mastery,Academic Intelligence; Exam Readiness; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; masteryEstimateId; journeyId; competencyId; level; confidence; modelVersionId,Notifies dependent domains that a material policy or state has changed.
ReadinessCalculated,Exam Readiness,Academic Intelligence; Communication; Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; readinessSnapshotId; journeyId; goalVersionId; state; predictedScoreRange; confidence; modelVersionId,Communicates a material Exam Readiness fact so dependent domains can react without direct database coupling.
ReadinessUpdated,Exam Readiness,AI Academic Intelligence; Academic Intelligence; Communication; Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; readinessSnapshotId; journeyId; goalVersionId; state; predictedScoreRange; confidence; modelVersionId,Signals a material derived or business-state change requiring dependent projections to refresh.
ReadinessStateChanged,Exam Readiness,Academic Intelligence; Communication; Learning Workspace; Preparation Journey; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; readinessSnapshotId; journeyId; goalVersionId; state; predictedScoreRange; confidence; modelVersionId,Notifies dependent domains that a material policy or state has changed.
TargetReadinessAchieved,Exam Readiness,Academic Intelligence; Achievement & Milestones; Communication; Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; readinessSnapshotId; journeyId; goalVersionId; state; predictedScoreRange; confidence; modelVersionId,Communicates a material Exam Readiness fact so dependent domains can react without direct database coupling.
ReadinessRiskDetected,Exam Readiness,Academic Intelligence; Communication; Learning Path; Learning Workspace; Recommendation Engine; Student Success,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; readinessSnapshotId; journeyId; goalVersionId; state; predictedScoreRange; confidence; modelVersionId,"Identifies an explainable risk, gap, incident or milestone requiring evaluation."
RecommendationGenerated,Recommendation Engine,Academic Intelligence; Learning Workspace; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; recommendationId; journeyId; activityReference; objective; status; policyVersionId; expiresAt?,Produces a governed derived object that must retain its policy and evidence provenance.
RecommendationPresented,Recommendation Engine,Academic Intelligence; Learning Workspace; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; recommendationId; journeyId; activityReference; objective; status; policyVersionId; expiresAt?,Communicates a material Recommendation Engine fact so dependent domains can react without direct database coupling.
RecommendationAccepted,Recommendation Engine,Academic Intelligence; Adaptive Practice; Learning Workspace; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; recommendationId; journeyId; activityReference; objective; status; policyVersionId; expiresAt?,Communicates a material Recommendation Engine fact so dependent domains can react without direct database coupling.
RecommendationDismissed,Recommendation Engine,Academic Intelligence; Learning Workspace; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; recommendationId; journeyId; activityReference; objective; status; policyVersionId; expiresAt?,Communicates a material Recommendation Engine fact so dependent domains can react without direct database coupling.
RecommendationOutcomeEvaluated,Recommendation Engine,Academic Intelligence; Learning Workspace; Study Planning,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; recommendationId; journeyId; activityReference; objective; status; policyVersionId; expiresAt?,Communicates a material Recommendation Engine fact so dependent domains can react without direct database coupling.
AIRequestAccepted,AI Academic Intelligence,Academic Intelligence; Academic Operations; Audit & Compliance,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,Communicates a material AI Academic Intelligence fact so dependent domains can react without direct database coupling.
AIGradeCompleted,AI Academic Intelligence,Academic Evidence; Academic Intelligence; Academic Operations; Audit & Compliance; Communication; Exam Readiness; Learning Workspace; Submission & Grading,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; gradeRunId?; gradeDecisionId?; submissionId; scoreSummary; rubricVersionId; confidence?; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,Confirms a business activity reached its valid terminal outcome and can feed evidence or projections.
AIOutputRejected,AI Academic Intelligence,Academic Intelligence; Academic Operations; Audit & Compliance,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,Communicates a material AI Academic Intelligence fact so dependent domains can react without direct database coupling.
AIReviewRequired,AI Academic Intelligence,Academic Intelligence; Academic Operations; Audit & Compliance,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,Communicates a material AI Academic Intelligence fact so dependent domains can react without direct database coupling.
AIFeedbackReleased,AI Academic Intelligence,Academic Intelligence; Academic Operations; Audit & Compliance,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; aiRunId; capability; modelVersionId; promptVersionId; status; cost?; latency?; confidence?,"Makes an approved result, feedback or capability visible to its intended audience."
